module_id,chapter_id,question_title,option1,option2,option3,option4,correct_answer
12,30,"While accounts are transferred from one branch to another, the receiving branch is expected to comply with KYC Norms. Which one of the following is/are correct in this regard?",Detailed verification of Customer Profile as received from the earlier branch is to be done with caution,Detailed verification is not needed but the account is opened immediately and informed to the customer,Fresh details are to be obtained and a fresh customer profile is to be prepared,No transaction is to be permitted for the first six months till the customer is fully know to the bank,3
12,30,Unusual activities in respect of an customers account is/are -,Opening of account at a place other than the place of work,Frequent deposits of large sums of money bearing labels of other banks into the account,Request for closure of newly opened accounts where high value transactions are routed through           , All of the above,4
12,30,"For effective implementation of “Know Your Employee”, measures to be adopted by the banks are -",Verification of the life-styles of the employees,Proper Job-rotation in work environment,Not allowing frequent cheque purchase to the employees by the employer,All of the above,1
12,30,Indicator/s about the suspicious transactions of a customer accounts is/are -,Depositing high value third party cheques endorsed in favour the account holder,Sudden increase in cash deposits,"Receipt or payment of large sums of cash, which have no obvious purpose",All of the above,4
12,30,Which of the following document/s that can be accepted by the Banks as a proof of Customer Identification -,Electricity Bill  ,Salary Slip ,Income/Wealth Tax  Assessment Order,All of the above,4
12,30,"Which of the following is a source of identification of new customer who is not having any valid documents such as, passport, etC.",Introduction from the third person having an account with the bank /branch,Introduction given the Safe deposit locker holder of the bank,Self–declaration given by the new customer along with other opening forms,None of the above,1
12,30,KYC is --,One-time project                                 ,To be carried out every 5 years,To be carried out every 2 years  ,An ongoing process,4
12,30,Is India a member of FATF?,Yes ,NO,Has applied for inclusion Has applied for inclusion ,Is likely to be made a member,2
12,30,"What is the level of risk of Money Laundering in a Liability product (e.g., deposits)?",Generally High  ,Medium ,Generally Low ,Cannot say,2
12,30,Letter of thanks is sent to introducer/s because it is -,laid down in the banks’ manual ,a routine practice followed  by banks for years,recommended by the Auditors of banks        ,Assisting banks in verification of genuineness  or otherwise of the address,4
12,30,"While opening an account in the name of a company, the following document/s is/are to be obtained -      ",Organisation Chart of the company ,Roles and responsibilities  of the Company,Memorandum and Articles of Association of the Company   ,Instructions of the Registrar of the Company,3
12,30,Due diligence is done at the time of opening an account to enable banks to ensure -,Identification of the customer at the time of opening an account,Correctness of the various denominations of notes given by the customer while opening an account,Authenticity of the signatures of the customer at the time of opening an account,Speeding up the process of account opening of the new customers,2
12,30,"For opening accounts in the case of Joint Hindu Undivided Family (JHUF), the following document/s is/are important -",Declaration of all family members  , Declaration of the Karta of the family,Declaration of all guardians on behalf of minors,Declaration can be exempted as per Hindu Succession Act,2
12,30,"While opening an account in case of partnership firm, one of the vital document to be produced by the firm is -",Partners MOU,Partnership Deed,Registration certificate of Partnership,Signatures of the partners,2
12,30,The amount beyond which cash transactions (Receipts & Payments) are to be monitored by the Commercial Banks as stipulated by the RBI in its guidelines is -,Rs.5 lacs & above, Rs.8 lacs & above,Rs.10 lacs & above,No such limit,3
12,30,"Submission of details of PAN (Permanent Account Number) is compulsory for Fixed Deposits, Remittances, such as, DDs / TTs/ Rupee TCs, etC., if the amount exceeds -","Rs.10,000/","Rs.25,000/-  ","Rs.50,000/-",No such limit,3
12,30,The branches of commercial banks should report suspicious transactions to -,Bank’s respective authority,RBI  ,Ministry of Finance,None of the above,1
12,30,Banks are made accountable for opening an account in the name of terrorist organisation under ------ of POTA 2002,Section 16 ,Section 20 ,Section 18   ,None of the above,3
12,30,"Which of the following is/are the terrorist organisation/s notified under POTA, 2002",Khalistan Zindabad Force,Deendar Anjuman,All Tripura Tiger Forc ,All of these,4
12,30,FCRA means -,Foreign Currency Regulation Act  ,Foreign Contribution Regulation Act,Foreign Cheques / Commodities Regulation Act ,None of the above,2
12,30,Dormant / In-operative account means -,No debits / credits in account for certain period,A dead account not operated for over 10 years,"No debit entries, but certain credit entries for certain period             ",A fixed asset account,3
12,30,The objective of verifying the employee life-styles by the employer is -,to know the source of income,to ascertain whether the employee is having any contacts with illegal organisations,to ascertain whether the employee is assisting organisations banned by statutory authorities,All of these,4
12,30,Maximum retention period of the bank records in case of suspicious transactions is -,5 years          ,7 Years,10 years ,15 Years,3
12,30,Role of the front line employees of a bank in respect of KYC guidelines is to -,Identify customers as per the existing instructions,Serve with Smile while opening the customer accounts,Assist the customer in filling-up the account opening forms,Provide efficient customer service,1
12,30,Name the software available in the market for KYC implementation -,Bank Master,Tally  ,Bank Alert ,Bank Call,3
12,30,Unusual activities in respect of an customers account is/are -,Opening of account at a place other than the place of work,Frequent deposits of large sums of money bearing labels of other banks into the account,Request for closure of newly opened accounts where high value transactions are routed through                         ,All of the above,4
12,30,A new customer may be identified through -,Passport ,Election ID Card ,PAN Card  ,All of the above,4
12,30, One of the sources that is available to identify the correctness of the information given by the New Customer of the Commercial Bank is -,Introduction given by the existing customer of the Bank,By studying the account opening form,By providing information by the agencies like CRISIL ,None of the above,3
12,30,Objective of KYC guidelines issued by RBI is -,To control the financial frauds/money laundering,To discourage opening of new accounts,To increase competition among the public sector and private sector banks,To check / control over the new accounts,1
12,30,Which of the following document/s that can be accepted by the Banks as a proof of Customer Identification -,Electricity Bill,Salary Slip,Income/Wealth Tax Assessment Order,All of the above,4
12,30,"Which of the following is a source of identification of new customer who is not having any valid documents such as, passport, etC.",Introduction from the third person having an account with the bank /branch,Introduction given the Safe deposit locker holder of the bank,Self–declaration given by the new customer along with other opening forms,None of the above,1
12,30,Is adopting Anti Money Laundering practices compulsory for Banks in India?,Yes ,NO,Not Sure,Will be made compulsorySoon,4
12,30,Letter of thanks is sent to introducer/s because it is -,Laid down in the banks’ manual,A routine practice followed by banks for years,Recommended by the Auditors of banks,assisting banks in verification of genuineness or otherwise of the address,4
12,30,Which of the following is the cardinal rule for bankers in anti-money laundering efforts -,Know Your Customer & Know Your Employee,Know the Customer of the other Banks,Know the income of the Customers of your Bank,Know the Assets Position of the customers of the Bank,1
12,30,"While opening an account in the name of a company, the following document/s is/are to be obtained -",Organisation Chart of the company   ,Roles and responsibilities of the Company,Memorandum and Articles of Association of the Company,Instructions of the Registrar of the Company,3
12,30, FATF means,Financial Action Task force,a,B,c,1
12,30,One of the important steps to be taken while opening NRI accounts is ……… by the bank branch,Authentication / verification of signature by Indian Embassy,Authentication / verification of signature made by the relative of NRI in India,Authentication / verification of signature made by friends of the NRI who are staying  abroad   ,All of the above,1
12,30,"In case of societies, the important document to be verified is -",Copy of Bye-Laws ,Certificate given by the ROC  ,Certificate given by the Local Authorities   ,"No document is to be verified in case of societies, as it is exempted",1
12,30,The amount beyond which cash transactions (Receipts & Payments) are to be monitored by the Commercial Banks as stipulated by the RBI in its guidelines is -,Rs.5 lacs & above  ,Rs.8 lacs & above,Rs.10 lacs & above,No such limit,3
12,30,"In computerised branches, suitable filters are required in the software for the purpose of -",Calculating the correct rate of interest ,Printing out the customer profiles,monitoring the suspicious transactions,sharing information/data to the Head Office,3
12,30,Banks are made accountable for opening an account in the name of terrorist organisation under ------ of POTA 2002,Section 16 ,Section 20   ,Section 18 ,None of the above,3
12,30,FCRA means -,Foreign Currency Regulation Act ,Foreign Contribution Regulation Act,Foreign Cheques / Commodities Regulation Act ,None of the above,3
12,30,Maximum punishment by way of imprisonment for the offence committed under Money Laundering Act is -, 7 years ,9 years,10 years ,12 years,3
12,30,Dormant / In-operative account means -,No debits / credits in account for certain period,A dead account not operated for over 10 years,"No debit entries, but certain credit entries for certain period            ",A fixed asset account,3
12,30,The objective of verifying the employee life-styles by the employer is,to know the source of income,to ascertain whether the employee is having any contacts with illegal organisations,to ascertain whether the employee is assisting organisations banned by statutory authorities,All of these,4
12,30,Maximum retention period of the bank records in case of suspicious transactions is -,5 years ,7 years ,10 years,15 years,3
12,30,Role of the concurrent auditors / Internal auditors with KYC is to -,Review of compliance of KYC guidelines,Effectiveness of the implementation of the KYC,Verification of newly opened accounts and their transactions,All of the above,4
12,30,Strict adherence to KYC norms is achieved through -,Following the statutory authority guidelines,identification of customers with appropriate documents,strict Implementation of the Banks Systems and procedures while opening the accounts,All of the above,4
12,30,"For effective implementation of “Know Your Employee”, measures to be adopted by the banks are -",Verification of the life-styles of the employees    ,Proper Job-rotation in work environment,Not allowing frequent cheque purchase to the employees by the employer,All of the above,1
12,30,Indicator/s about the suspicious transactions of a customer accounts is/are -,Depositing high value third party cheques endorsed in favour the account holder,Sudden increase in cash deposits,"Receipt or payment of large sums of cash, which have no obvious purpose",All of the above,4
12,30,Which of the following objective/s is/are important under new KYC Norms?,To curb Money Laundering    ,To curb the specious activities,To monitor/check the transactions of the bank customers     ,All of the above,4
12,30,The main objective of KYC is to -,Prevent Money Laundering activities,Improve Customer Service,Improve Customer Documentation Standards ,None of these,1
12,30,Is adopting Anti Money Laundering practices compulsory for Banks in India?,Yes ,No,Not Sure,Will be made compulsory soon,4
12,30,Letter of thanks is sent to introducer/s because it is -,Laid down in the banks’ manual ,A routine practice followed by banks for years,Recommended by the Auditors of banks  ,assisting banks in verification of genuineness or otherwise of the address,4
12,30,Money Laundering measures were originally introduced by?,DICGC   ,EXIM Bank  ,FDIC,SEBI,4
12,30,.FATF is located at -,Mumbai    ,New York ,Paris  ,Japan,3
12,30,One of the important steps to be taken while opening NRI accounts is ……… by the bank branch,Authentication / verification of signature by Indian Embassy,Authentication / verification of signature made by the relative of NRI in India,Authentication / verification of signature made by friends of the NRI who are staying abroad ,All of the above,1
12,30,"In case of societies, the important document to be verified is -",Copy of Bye-Laws ,Certificate given by the ROC  ,Certificate given by the Local Authorities   ,"No document is to be verified in case of societies, as it is exempted",1
12,30,"For opening accounts in the case of Joint Hindu Undivided Family (JHUF), the following document/s is/are important -", Declaration of all family members ,Declaration of the Karta of the family,Declaration of all guardians on behalf of minors    ,Declaration can be exempted as per Hindu Succession Act,2
12,30,"In computerised branches, suitable filters are required in the software for the purpose of -",Calculating the correct rate of interest,Printing out the customer profiles,Monitoring the suspicious transactions,Sharing information/data to the Head Office,3
12,30,The objective of verifying the employee life-styles by the employer is -,To know the source of income,To ascertain whether the employee is having any contacts with illegal organisations,To ascertain whether the employee is assisting organisations banned by statutory authorities,All of these,4
12,30,Strict adherence to KYC norms is achieved through -,Following the statutory authority guidelines,Identification of customers with appropriate documents,Strict Implementation of the Banks Systems and procedures while opening the accounts,All of the above,4
12,30,Role of the front line employees of a bank in respect of KYC guidelines is to -,Identify customers as per the existing instructions,Serve with Smile while opening the customer accounts,Assist the customer in filling-up the account opening forms,Provide efficient customer service,1
12,30,"While accounts are transferred from one branch to another, the receiving branch is expected to comply with KYC Norms. Which one of the following is/are correct in this regard?",Detailed verification of Customer Profile as received from the earlier branch is to be done with caution,Detailed verification is not needed but the account is opened immediately and informed to the customer,Fresh details are to be obtained and a fresh customer profile is to be prepared,No transaction is to be permitted for the first six months till the customer is fully know to the bank,3
12,30,Unusual activities in respect of an customers account is/are -,Opening of account at a place other than the place of work,Frequent deposits of large sums of money bearing labels of other banks into the account,Request for closure of newly opened accounts where high value transactions are routed through ,All of the above,4
12,30,"For effective implementation of “Know Your Employee”, measures to be adopted by the banks are -",Verification of the life-styles of the employees ,Proper Job-rotation in work environment,Not allowing frequent cheque purchase to the employees by the employer,All of the above,1
12,30,Objective of KYC guidelines issued by RBI is -,To control the financial frauds/money laundering,To discourage opening of new accounts,To increase competition among the public sector and private sector banks,To check / control over the new accounts,1
12,30,"Which of the following is a source of identification of new customer who is not having any valid documents such as, passport, etC.",Introduction from the third person having an account with the bank /branch,Introduction given the Safe deposit locker holder of the bank,Self–declaration given by the new customer along with other opening forms,None of the above,1
12,30,Which of the following is the cardinal rule for bankers in anti-money laundering efforts -,Know Your Customer & Know Your Employee ,Know the Customer of the other Banks,Know the income of the Customers of your Bank,Know the Assets Position of the customers of the Bank,1
12,30,Money Laundering means -,Conversion of assets to invest in Laundromats,Conversion of money which is illegally obtained to make them legitimate,Conversion of cash into gold to make them legitimate,Conversion of assets into cash to make them legitimate,2
12,30,Due diligence is done at the time of opening an account to enable banks to ensure -,Identification of the customer at the time of opening an account,Correctness of the various denominations of notes given by the customer while opening an account ,authenticity of the signatures of the customer at the time of opening an account,speeding up the process of account opening of the new customers,1
12,30,The term “Hawala” is an ----- word,Telugu,English  ,Arabic,Islamic,3
12,30,Money Laundering measures were originally introduced by?,DICGC,EXIM Bank,FDIC ,SEBI,4
12,30,One of the important steps to be taken while opening NRI accounts is ……… by the bank branch,Authentication / verification of signature by Indian Embassy,Authentication / verification of signature made by the relative of NRI in India,Authentication / verification of signature made by friends of the NRI who are staying abroad ,All of the above,1
12,30,"For opening accounts in the case of Joint Hindu Undivided Family (JHUF), the following document/s is/are important -",Declaration of all family members ,Declaration of the Karta of the family, Declaration of all guardians on behalf of minors ,Declaration can be exempted as per Hindu Succession Act,2
